Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
Kenya,Foreign Exchange Reserves,2004-09-30T00:00:00,1916.98,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2004-10-29T00:00:00,1983.51,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2004-10-31T00:00:00,1983.51,Monthly,KENYAFOREXCRES,2022-09-25T14:13:00
Kenya,Foreign Exchange Reserves,2004-11-30T00:00:00,2075.68,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2004-12-31T00:00:00,2138.26,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2005-01-31T00:00:00,2155.59,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2005-02-28T00:00:00,2236.05,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2005-03-31T00:00:00,2358.05,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2005-04-29T00:00:00,2374.95,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2005-04-30T00:00:00,2374.95,Monthly,KENYAFOREXCRES,2022-09-25T14:13:00
Kenya,Foreign Exchange Reserves,2005-05-31T00:00:00,2313.79,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2005-06-30T00:00:00,2326.83,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2005-07-29T00:00:00,2421.14,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2005-07-31T00:00:00,2421.14,Monthly,KENYAFOREXCRES,2022-09-25T14:13:00
Kenya,Foreign Exchange Reserves,2005-08-31T00:00:00,2492.73,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2005-09-30T00:00:00,2446.36,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2005-10-31T00:00:00,2471.49,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2005-11-30T00:00:00,2429.51,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2005-12-30T00:00:00,2534.16,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2005-12-31T00:00:00,2534.16,Monthly,KENYAFOREXCRES,2022-09-25T14:13:00
Kenya,Foreign Exchange Reserves,2006-01-31T00:00:00,2666.93,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2006-02-28T00:00:00,2643.5,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2006-03-31T00:00:00,2718.44,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2006-04-30T00:00:00,2910.54,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2006-05-31T00:00:00,2921.57,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2006-06-30T00:00:00,2909.42,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2006-07-31T00:00:00,2987.33,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2006-08-31T00:00:00,3149.13,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2006-09-29T00:00:00,3113.3,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2006-09-30T00:00:00,3113.3,Monthly,KENYAFOREXCRES,2022-09-25T14:13:00
Kenya,Foreign Exchange Reserves,2006-10-31T00:00:00,3252.44,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2006-11-30T00:00:00,3250.06,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2006-12-29T00:00:00,3331.3,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2006-12-31T00:00:00,3331.3,Monthly,KENYAFOREXCRES,2022-09-25T14:13:00
Kenya,Foreign Exchange Reserves,2007-01-31T00:00:00,3284.3,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
